date,meantempm,maxtempm,mintempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
2016-05-19,38,46,29,36.0,35.0,36.0,11.0,13.0,13.0,999.88,1001.58,1003.68,45.0,42.0,51.0,5.0,8.0,6.0,45.0,44.0,43.0,27.0,26.0,28.0,17.0,16.0,19.0,6.0,10.0,7.0,1002.0,1010.0,1006.0,994.0,995.0,999.0,0.0,0.0,3.0
2016-05-20,38,46,30,38.0,36.0,35.0,6.0,11.0,13.0,998.96,999.88,1001.58,33.0,45.0,42.0,4.0,5.0,8.0,46.0,45.0,44.0,29.0,27.0,26.0,13.0,17.0,16.0,-2.0,6.0,10.0,1002.0,1002.0,1010.0,994.0,994.0,995.0,0.0,0.0,0.0
2016-05-21,38,45,32,38.0,38.0,36.0,10.0,6.0,11.0,997.92,998.96,999.88,38.0,33.0,45.0,4.0,4.0,5.0,46.0,46.0,45.0,30.0,29.0,27.0,18.0,13.0,17.0,0.0,-2.0,6.0,1001.0,1002.0,1002.0,992.0,994.0,994.0,0.0,0.0,0.0
2016-05-22,38,44,31,38.0,38.0,38.0,12.0,10.0,6.0,998.41,997.92,998.96,30.0,38.0,33.0,6.0,4.0,4.0,45.0,46.0,46.0,32.0,30.0,29.0,17.0,18.0,13.0,3.0,0.0,-2.0,1001.0,1001.0,1002.0,992.0,992.0,994.0,0.0,0.0,0.0
2016-05-23,34,42,25,38.0,38.0,38.0,16.0,12.0,10.0,999.88,998.41,997.92,46.0,30.0,38.0,10.0,6.0,4.0,44.0,45.0,46.0,31.0,32.0,30.0,21.0,17.0,18.0,8.0,3.0,0.0,1003.0,1001.0,1001.0,995.0,992.0,992.0,0.0,0.0,0.0
2016-05-24,32,40,23,34.0,38.0,38.0,18.0,16.0,12.0,1001.13,999.88,998.41,69.0,46.0,30.0,18.0,10.0,6.0,42.0,44.0,45.0,25.0,31.0,32.0,21.0,21.0,17.0,15.0,8.0,3.0,1006.0,1003.0,1001.0,994.0,995.0,992.0,0.5,0.0,0.0
2016-05-25,34,40,28,32.0,34.0,38.0,16.0,18.0,16.0,1002.15,1001.13,999.88,74.0,69.0,46.0,14.0,18.0,10.0,40.0,42.0,44.0,23.0,25.0,31.0,20.0,21.0,21.0,12.0,15.0,8.0,1005.0,1006.0,1003.0,996.0,994.0,995.0,0.0,0.5,0.0
2016-05-26,34,40,28,34.0,32.0,34.0,17.0,16.0,18.0,1000.02,1002.15,1001.13,51.0,74.0,69.0,16.0,14.0,18.0,40.0,40.0,42.0,28.0,23.0,25.0,20.0,20.0,21.0,15.0,12.0,15.0,1003.0,1005.0,1006.0,994.0,996.0,994.0,0.0,0.0,0.5
2016-05-27,36,42,30,34.0,34.0,32.0,16.0,17.0,16.0,1001.7,1000.02,1002.15,46.0,51.0,74.0,14.0,16.0,14.0,40.0,40.0,40.0,28.0,28.0,23.0,19.0,20.0,20.0,13.0,15.0,12.0,1004.0,1003.0,1005.0,997.0,994.0,996.0,0.0,0.0,0.0
2016-05-28,35,40,30,36.0,34.0,34.0,13.0,16.0,17.0,1003.43,1001.7,1000.02,40.0,46.0,51.0,7.0,14.0,16.0,42.0,40.0,40.0,30.0,28.0,28.0,18.0,19.0,20.0,7.0,13.0,15.0,1006.0,1004.0,1003.0,998.0,997.0,994.0,0.0,0.0,0.0
2016-05-29,33,41,25,35.0,36.0,34.0,16.0,13.0,16.0,1003.17,1003.43,1001.7,46.0,40.0,46.0,15.0,7.0,14.0,40.0,42.0,40.0,30.0,30.0,28.0,20.0,18.0,19.0,13.0,7.0,13.0,1009.0,1006.0,1004.0,997.0,998.0,997.0,0.0,0.0,0.0
2016-05-30,32,37,26,33.0,35.0,36.0,16.0,16.0,13.0,1002.18,1003.17,1003.43,48.0,46.0,40.0,16.0,15.0,7.0,41.0,40.0,42.0,25.0,30.0,30.0,18.0,20.0,18.0,13.0,13.0,7.0,1005.0,1009.0,1006.0,996.0,997.0,998.0,0.0,0.0,0.0
2016-05-31,34,41,28,32.0,33.0,35.0,17.0,16.0,16.0,1003.67,1002.18,1003.17,58.0,48.0,46.0,21.0,16.0,15.0,37.0,41.0,40.0,26.0,25.0,30.0,20.0,18.0,20.0,8.0,13.0,13.0,1007.0,1005.0,1009.0,999.0,996.0,997.0,0.0,0.0,0.0
2016-06-01,35,42,28,34.0,32.0,33.0,16.0,17.0,16.0,1005.08,1003.67,1002.18,52.0,58.0,48.0,12.0,21.0,16.0,41.0,37.0,41.0,28.0,26.0,25.0,20.0,20.0,18.0,10.0,8.0,13.0,1008.0,1007.0,1005.0,999.0,999.0,996.0,0.0,0.0,0.0
2016-06-02,36,42,30,35.0,34.0,32.0,13.0,16.0,17.0,1005.44,1005.08,1003.67,42.0,52.0,58.0,10.0,12.0,21.0,42.0,41.0,37.0,28.0,28.0,26.0,18.0,20.0,20.0,8.0,10.0,8.0,1009.0,1008.0,1007.0,999.0,999.0,999.0,0.0,0.0,0.0
2016-06-03,38,43,32,36.0,35.0,34.0,13.0,13.0,16.0,1004.8,1005.44,1005.08,38.0,42.0,52.0,10.0,10.0,12.0,42.0,42.0,41.0,30.0,28.0,28.0,18.0,18.0,20.0,9.0,8.0,10.0,1009.0,1009.0,1008.0,999.0,999.0,999.0,0.0,0.0,0.0
2016-06-04,38,44,31,38.0,36.0,35.0,13.0,13.0,13.0,1004.93,1004.8,1005.44,34.0,38.0,42.0,10.0,10.0,10.0,43.0,42.0,42.0,32.0,30.0,28.0,18.0,18.0,18.0,7.0,9.0,8.0,1008.0,1009.0,1009.0,999.0,999.0,999.0,0.0,0.0,0.0
2016-06-05,38,45,31,38.0,38.0,36.0,5.0,13.0,13.0,1004.67,1004.93,1004.8,27.0,34.0,38.0,4.0,10.0,10.0,44.0,43.0,42.0,31.0,32.0,30.0,18.0,18.0,18.0,2.0,7.0,9.0,1007.0,1008.0,1009.0,999.0,999.0,999.0,0.0,0.0,0.0
2016-06-06,36,44,27,38.0,38.0,38.0,6.0,5.0,13.0,1003.88,1004.67,1004.93,27.0,27.0,34.0,4.0,4.0,10.0,45.0,44.0,43.0,31.0,31.0,32.0,16.0,18.0,18.0,0.0,2.0,7.0,1007.0,1007.0,1008.0,998.0,999.0,999.0,0.0,0.0,0.0
2016-06-07,38,45,30,36.0,38.0,38.0,13.0,6.0,5.0,1003.29,1003.88,1004.67,51.0,27.0,27.0,5.0,4.0,4.0,44.0,45.0,44.0,27.0,31.0,31.0,21.0,16.0,18.0,5.0,0.0,2.0,1007.0,1007.0,1007.0,997.0,998.0,999.0,0.0,0.0,0.0
2016-06-08,38,44,31,38.0,36.0,38.0,12.0,13.0,6.0,1002.83,1003.29,1003.88,47.0,51.0,27.0,4.0,5.0,4.0,45.0,44.0,45.0,30.0,27.0,31.0,22.0,21.0,16.0,2.0,5.0,0.0,1006.0,1007.0,1007.0,996.0,997.0,998.0,0.0,0.0,0.0
2016-06-09,36,44,29,38.0,38.0,36.0,12.0,12.0,13.0,1001.24,1002.83,1003.29,43.0,47.0,51.0,7.0,4.0,5.0,44.0,45.0,44.0,31.0,30.0,27.0,19.0,22.0,21.0,8.0,2.0,5.0,1004.0,1006.0,1007.0,994.0,996.0,997.0,0.0,0.0,0.0
2016-06-10,37,43,31,36.0,38.0,38.0,12.0,12.0,12.0,1000.57,1001.24,1002.83,34.0,43.0,47.0,6.0,7.0,4.0,44.0,44.0,45.0,29.0,31.0,30.0,17.0,19.0,22.0,6.0,8.0,2.0,1003.0,1004.0,1006.0,994.0,994.0,996.0,0.0,0.0,0.0
2016-06-11,34,41,27,37.0,36.0,38.0,15.0,12.0,12.0,1000.6,1000.57,1001.24,41.0,34.0,43.0,11.0,6.0,7.0,43.0,44.0,44.0,31.0,29.0,31.0,21.0,17.0,19.0,12.0,6.0,8.0,1003.0,1003.0,1004.0,994.0,994.0,994.0,0.0,0.0,0.0
2016-06-12,34,41,27,34.0,37.0,36.0,18.0,15.0,12.0,1001.62,1000.6,1000.57,62.0,41.0,34.0,16.0,11.0,6.0,41.0,43.0,44.0,27.0,31.0,29.0,22.0,21.0,17.0,13.0,12.0,6.0,1004.0,1003.0,1003.0,994.0,994.0,994.0,0.0,0.0,0.0
2016-06-13,35,40,30,34.0,34.0,37.0,18.0,18.0,15.0,1001.2,1001.62,1000.6,58.0,62.0,41.0,23.0,16.0,11.0,41.0,41.0,43.0,27.0,27.0,31.0,21.0,22.0,21.0,15.0,13.0,12.0,1004.0,1004.0,1003.0,996.0,994.0,994.0,0.0,0.0,0.0
2016-06-14,34,39,29,35.0,34.0,34.0,19.0,18.0,18.0,1001.42,1001.2,1001.62,58.0,58.0,62.0,17.0,23.0,16.0,40.0,41.0,41.0,30.0,27.0,27.0,26.0,21.0,22.0,14.0,15.0,13.0,1004.0,1004.0,1004.0,995.0,996.0,994.0,0.0,0.0,0.0
2016-06-15,34,39,30,34.0,35.0,34.0,18.0,19.0,18.0,1000.63,1001.42,1001.2,49.0,58.0,58.0,18.0,17.0,23.0,39.0,40.0,41.0,29.0,30.0,27.0,24.0,26.0,21.0,16.0,14.0,15.0,1004.0,1004.0,1004.0,994.0,995.0,996.0,0.0,0.0,0.0
2016-06-16,35,40,30,34.0,34.0,35.0,18.0,18.0,19.0,998.76,1000.63,1001.42,52.0,49.0,58.0,16.0,18.0,17.0,39.0,39.0,40.0,30.0,29.0,30.0,22.0,24.0,26.0,15.0,16.0,14.0,1002.0,1004.0,1004.0,993.0,994.0,995.0,0.0,0.0,0.0
2016-06-17,36,42,31,35.0,34.0,34.0,17.0,18.0,18.0,999.57,998.76,1000.63,46.0,52.0,49.0,21.0,16.0,18.0,40.0,39.0,39.0,30.0,30.0,29.0,20.0,22.0,24.0,13.0,15.0,16.0,1003.0,1002.0,1004.0,994.0,993.0,994.0,0.0,0.0,0.0
2016-06-18,36,42,30,36.0,35.0,34.0,17.0,17.0,18.0,1000.55,999.57,998.76,41.0,46.0,52.0,15.0,21.0,16.0,42.0,40.0,39.0,31.0,30.0,30.0,21.0,20.0,22.0,13.0,13.0,15.0,1003.0,1003.0,1002.0,994.0,994.0,993.0,0.0,0.0,0.0
2016-06-19,35,41,29,36.0,36.0,35.0,19.0,17.0,17.0,1001.7,1000.55,999.57,46.0,41.0,46.0,15.0,15.0,21.0,42.0,42.0,40.0,30.0,31.0,30.0,22.0,21.0,20.0,15.0,13.0,13.0,1004.0,1003.0,1003.0,995.0,994.0,994.0,0.0,0.0,0.0
2016-06-20,35,41,29,35.0,36.0,36.0,20.0,19.0,17.0,1002.2,1001.7,1000.55,52.0,46.0,41.0,17.0,15.0,15.0,41.0,42.0,42.0,29.0,30.0,31.0,23.0,22.0,21.0,16.0,15.0,13.0,1005.0,1004.0,1003.0,996.0,995.0,994.0,0.0,0.0,0.0
2016-06-21,34,40,27,35.0,35.0,36.0,21.0,20.0,19.0,1001.2,1002.2,1001.7,66.0,52.0,46.0,21.0,17.0,15.0,41.0,41.0,42.0,29.0,29.0,30.0,23.0,23.0,22.0,17.0,16.0,15.0,1004.0,1005.0,1004.0,994.0,996.0,995.0,0.0,0.0,0.0
2016-06-22,32,37,27,34.0,35.0,35.0,22.0,21.0,20.0,1001.45,1001.2,1002.2,89.0,66.0,52.0,27.0,21.0,17.0,40.0,41.0,41.0,27.0,29.0,29.0,25.0,23.0,23.0,20.0,17.0,16.0,1003.0,1004.0,1005.0,999.0,994.0,996.0,3.0,0.0,0.0
2016-06-23,34,40,27,32.0,34.0,35.0,23.0,22.0,21.0,1003.0,1001.45,1001.2,84.0,89.0,66.0,31.0,27.0,21.0,37.0,40.0,41.0,27.0,27.0,29.0,25.0,25.0,23.0,20.0,20.0,17.0,1006.0,1003.0,1004.0,998.0,999.0,994.0,0.0,3.0,0.0
2016-06-24,34,40,28,34.0,32.0,34.0,23.0,23.0,22.0,1002.88,1003.0,1001.45,79.0,84.0,89.0,27.0,31.0,27.0,40.0,37.0,40.0,27.0,27.0,27.0,25.0,25.0,25.0,19.0,20.0,20.0,1007.0,1006.0,1003.0,996.0,998.0,999.0,0.0,0.0,3.0
2016-06-25,34,40,29,34.0,34.0,32.0,21.0,23.0,23.0,1001.19,1002.88,1003.0,62.0,79.0,84.0,24.0,27.0,31.0,40.0,40.0,37.0,28.0,27.0,27.0,23.0,25.0,25.0,18.0,19.0,20.0,1004.0,1007.0,1006.0,995.0,996.0,998.0,0.0,0.0,0.0
2016-06-26,34,39,29,34.0,34.0,34.0,21.0,21.0,23.0,1002.21,1001.19,1002.88,62.0,62.0,79.0,24.0,24.0,27.0,40.0,40.0,40.0,29.0,28.0,27.0,23.0,23.0,25.0,20.0,18.0,19.0,1005.0,1004.0,1007.0,998.0,995.0,996.0,2.0,0.0,0.0
2016-06-27,34,39,29,34.0,34.0,34.0,21.0,21.0,21.0,1001.93,1002.21,1001.19,66.0,62.0,62.0,30.0,24.0,24.0,39.0,40.0,40.0,29.0,29.0,28.0,25.0,23.0,23.0,18.0,20.0,18.0,1005.0,1005.0,1004.0,995.0,998.0,995.0,0.2,2.0,0.0
2016-06-28,30,35,25,34.0,34.0,34.0,23.0,21.0,21.0,1001.27,1001.93,1002.21,84.0,66.0,62.0,35.0,30.0,24.0,39.0,39.0,40.0,29.0,29.0,29.0,26.0,25.0,23.0,21.0,18.0,20.0,1003.0,1005.0,1005.0,997.0,995.0,998.0,4.0,0.2,2.0
2016-06-29,32,39,26,30.0,34.0,34.0,25.0,23.0,21.0,1002.41,1001.27,1001.93,94.0,84.0,66.0,45.0,35.0,30.0,35.0,39.0,39.0,25.0,29.0,29.0,26.0,26.0,25.0,23.0,21.0,18.0,1005.0,1003.0,1005.0,998.0,997.0,995.0,0.0,4.0,0.2
2016-06-30,36,42,30,32.0,30.0,34.0,24.0,25.0,23.0,1002.48,1002.41,1001.27,84.0,94.0,84.0,32.0,45.0,35.0,39.0,35.0,39.0,26.0,25.0,29.0,26.0,26.0,26.0,21.0,23.0,21.0,1005.0,1005.0,1003.0,996.0,998.0,997.0,0.0,0.0,4.0
2016-07-01,28,33,24,36.0,32.0,30.0,23.0,24.0,25.0,1000.22,1002.48,1002.41,62.0,84.0,94.0,22.0,32.0,45.0,42.0,39.0,35.0,30.0,26.0,25.0,26.0,26.0,26.0,19.0,21.0,23.0,1003.0,1005.0,1005.0,994.0,996.0,998.0,0.0,0.0,0.0
2016-07-02,26,31,22,28.0,36.0,32.0,25.0,23.0,24.0,999.43,1000.22,1002.48,100.0,62.0,84.0,55.0,22.0,32.0,33.0,42.0,39.0,24.0,30.0,26.0,27.0,26.0,26.0,23.0,19.0,21.0,1003.0,1003.0,1005.0,994.0,994.0,996.0,6.0,0.0,0.0
2016-07-03,28,31,24,26.0,28.0,36.0,25.0,25.0,23.0,999.87,999.43,1000.22,100.0,100.0,62.0,66.0,55.0,22.0,31.0,33.0,42.0,22.0,24.0,30.0,26.0,27.0,26.0,23.0,23.0,19.0,1001.0,1003.0,1003.0,997.0,994.0,994.0,0.0,6.0,0.0
2016-07-04,30,36,25,28.0,26.0,28.0,25.0,25.0,25.0,1000.04,999.87,999.43,100.0,100.0,100.0,60.0,66.0,55.0,31.0,31.0,33.0,24.0,22.0,24.0,26.0,26.0,27.0,24.0,23.0,23.0,1007.0,1001.0,1003.0,996.0,997.0,994.0,0.0,0.0,6.0
2016-07-05,32,37,27,30.0,28.0,26.0,23.0,25.0,25.0,999.3,1000.04,999.87,94.0,100.0,100.0,36.0,60.0,66.0,36.0,31.0,31.0,25.0,24.0,22.0,26.0,26.0,26.0,21.0,24.0,23.0,1001.0,1007.0,1001.0,994.0,996.0,997.0,0.0,0.0,0.0
2016-07-06,34,38,29,32.0,30.0,28.0,24.0,23.0,25.0,998.43,999.3,1000.04,82.0,94.0,100.0,36.0,36.0,60.0,37.0,36.0,31.0,27.0,25.0,24.0,26.0,26.0,26.0,22.0,21.0,24.0,1001.0,1001.0,1007.0,993.0,994.0,996.0,0.0,0.0,0.0
2016-07-07,33,38,28,34.0,32.0,30.0,23.0,24.0,23.0,998.86,998.43,999.3,70.0,82.0,94.0,33.0,36.0,36.0,38.0,37.0,36.0,29.0,27.0,25.0,26.0,26.0,26.0,22.0,22.0,21.0,1002.0,1001.0,1001.0,994.0,993.0,994.0,0.0,0.0,0.0
2016-07-08,33,38,28,33.0,34.0,32.0,22.0,23.0,24.0,999.96,998.86,998.43,73.0,70.0,82.0,31.0,33.0,36.0,38.0,38.0,37.0,28.0,29.0,27.0,26.0,26.0,26.0,21.0,22.0,22.0,1002.0,1002.0,1001.0,995.0,994.0,993.0,0.0,0.0,0.0
2016-07-09,32,38,26,33.0,33.0,34.0,23.0,22.0,23.0,999.45,999.96,998.86,76.0,73.0,70.0,40.0,31.0,33.0,38.0,38.0,38.0,28.0,28.0,29.0,25.0,26.0,26.0,21.0,21.0,22.0,1002.0,1002.0,1002.0,994.0,995.0,994.0,0.0,0.0,0.0
2016-07-10,31,37,25,32.0,33.0,33.0,24.0,23.0,22.0,998.33,999.45,999.96,89.0,76.0,73.0,35.0,40.0,31.0,38.0,38.0,38.0,26.0,28.0,28.0,25.0,25.0,26.0,22.0,21.0,21.0,1000.0,1002.0,1002.0,994.0,994.0,995.0,0.7,0.0,0.0
2016-07-11,29,35,23,31.0,32.0,33.0,24.0,24.0,23.0,998.09,998.33,999.45,94.0,89.0,76.0,37.0,35.0,40.0,37.0,38.0,38.0,25.0,26.0,28.0,26.0,25.0,25.0,21.0,22.0,21.0,1000.0,1000.0,1002.0,993.0,994.0,994.0,16.0,0.7,0.0
2016-07-12,28,31,26,29.0,31.0,32.0,24.0,24.0,24.0,999.24,998.09,998.33,89.0,94.0,89.0,40.0,37.0,35.0,35.0,37.0,38.0,23.0,25.0,26.0,25.0,26.0,25.0,22.0,21.0,22.0,1001.0,1000.0,1000.0,995.0,993.0,994.0,0.2,16.0,0.7
2016-07-13,30,34,26,28.0,29.0,31.0,25.0,24.0,24.0,1000.34,999.24,998.09,94.0,89.0,94.0,66.0,40.0,37.0,31.0,35.0,37.0,26.0,23.0,25.0,27.0,25.0,26.0,23.0,22.0,21.0,1003.0,1001.0,1000.0,996.0,995.0,993.0,5.0,0.2,16.0
2016-07-14,30,33,26,30.0,28.0,29.0,26.0,25.0,24.0,1000.26,1000.34,999.24,89.0,94.0,89.0,56.0,66.0,40.0,34.0,31.0,35.0,26.0,26.0,23.0,26.0,27.0,25.0,24.0,23.0,22.0,1002.0,1003.0,1001.0,996.0,996.0,995.0,0.0,5.0,0.2
2016-07-15,26,28,25,30.0,30.0,28.0,26.0,26.0,25.0,1000.84,1000.26,1000.34,91.0,89.0,94.0,60.0,56.0,66.0,33.0,34.0,31.0,26.0,26.0,26.0,26.0,26.0,27.0,25.0,24.0,23.0,1003.0,1002.0,1003.0,997.0,996.0,996.0,0.6,0.0,5.0
2016-07-16,26,28,24,26.0,30.0,30.0,26.0,26.0,26.0,1001.66,1000.84,1000.26,100.0,91.0,89.0,51.0,60.0,56.0,28.0,33.0,34.0,25.0,26.0,26.0,27.0,26.0,26.0,15.0,25.0,24.0,1003.0,1003.0,1002.0,999.0,997.0,996.0,23.0,0.6,0.0
2016-07-17,27,31,23,26.0,26.0,30.0,26.0,26.0,26.0,1002.31,1001.66,1000.84,100.0,100.0,91.0,82.0,51.0,60.0,28.0,28.0,33.0,24.0,25.0,26.0,27.0,27.0,26.0,24.0,15.0,25.0,1005.0,1003.0,1003.0,998.0,999.0,997.0,51.0,23.0,0.6
2016-07-18,28,34,23,27.0,26.0,26.0,25.0,26.0,26.0,1003.93,1002.31,1001.66,100.0,100.0,100.0,69.0,82.0,51.0,31.0,28.0,28.0,23.0,24.0,25.0,26.0,27.0,27.0,23.0,24.0,15.0,1006.0,1005.0,1003.0,1001.0,998.0,999.0,0.0,51.0,23.0
2016-07-19,30,35,25,28.0,27.0,26.0,25.0,25.0,26.0,1003.69,1003.93,1002.31,100.0,100.0,100.0,49.0,69.0,82.0,34.0,31.0,28.0,23.0,23.0,24.0,26.0,26.0,27.0,23.0,23.0,24.0,1006.0,1006.0,1005.0,999.0,1001.0,998.0,0.0,0.0,51.0
2016-07-20,30,36,25,30.0,28.0,27.0,24.0,25.0,25.0,1003.27,1003.69,1003.93,84.0,100.0,100.0,42.0,49.0,69.0,35.0,34.0,31.0,25.0,23.0,23.0,25.0,26.0,26.0,23.0,23.0,23.0,1006.0,1006.0,1006.0,999.0,999.0,1001.0,0.0,0.0,0.0
2016-07-21,32,37,26,30.0,30.0,28.0,23.0,24.0,25.0,1003.05,1003.27,1003.69,84.0,84.0,100.0,36.0,42.0,49.0,36.0,35.0,34.0,25.0,25.0,23.0,24.0,25.0,26.0,21.0,23.0,23.0,1006.0,1006.0,1006.0,998.0,999.0,999.0,0.0,0.0,0.0
2016-07-22,32,36,27,32.0,30.0,30.0,22.0,23.0,24.0,1002.77,1003.05,1003.27,74.0,84.0,84.0,34.0,36.0,42.0,37.0,36.0,35.0,26.0,25.0,25.0,23.0,24.0,25.0,20.0,21.0,23.0,1005.0,1006.0,1006.0,997.0,998.0,999.0,0.0,0.0,0.0
2016-07-23,32,36,27,32.0,32.0,30.0,22.0,22.0,23.0,1001.84,1002.77,1003.05,74.0,74.0,84.0,34.0,34.0,36.0,36.0,37.0,36.0,27.0,26.0,25.0,23.0,23.0,24.0,21.0,20.0,21.0,1004.0,1005.0,1006.0,997.0,997.0,998.0,0.0,0.0,0.0
2016-07-24,30,34,27,32.0,32.0,32.0,23.0,22.0,22.0,1002.64,1001.84,1002.77,74.0,74.0,74.0,39.0,34.0,34.0,36.0,36.0,37.0,27.0,27.0,26.0,24.0,23.0,23.0,20.0,21.0,20.0,1005.0,1004.0,1005.0,999.0,997.0,997.0,0.0,0.0,0.0
